index,x,y
truck0,72.06384284837324,57.75626043405676
truck6,56.22222222222222,129.48580968280467
truck9,218.6764886433395,145.63272120200335
truck14,150.65070595457337,222.64106844741238
truck19,431.1405770411296,207.11519198664442
truck26,121.14180478821363,337.2220367278798
truck27,173.94720687538367,340.3272120200334
truck33,393.24493554327813,377.2787979966611
truck35,288.8766114180479,385.35225375626044
truck36,303.16513198281154,414.85141903171956
truck42,276.1411909146716,476.95492487479135
truck43,290.42971147943524,506.7646076794658
truck48,489.5371393492941,507.0751252086812
truck49,492.64333947206876,479.7495826377296
truck52,241.9729895641498,281.94991652754595
truck54,320.5598526703499,273.5659432387312
truck44,315.5899324739104,295.92320534223705
truck56,404.11663597298957,294.3706176961603
