demand_node_index,truck_node_index,distance,scaled_demand
demand0,truck0,146.42110861079016,38
demand0,truck1,104.79204578414127,49
demand0,truck2,228.24125805598544,18
demand0,truck3,332.05138430149566,0
demand0,truck4,368.4347756328684,0
demand0,truck5,450.5626557864364,0
demand0,truck6,124.29459408897353,44
demand0,truck7,84.9690140143737,50
demand0,truck8,136.31590906143782,41
demand0,truck9,208.09082027454062,23
demand0,truck10,308.8932789096301,0
demand0,truck11,333.7323434154395,0
demand0,truck12,231.98561182628265,17
demand0,truck13,158.02610754668802,35
demand0,truck14,207.25030701282463,23
demand0,truck15,284.2885633843428,4
demand0,truck16,364.3684782448691,0
demand0,truck17,383.2559204197206,0
demand0,truck18,421.1161921725146,0
demand0,truck19,487.7600521551031,0
demand0,truck20,510.9787062640242,0
demand0,truck21,412.3890608502414,0
demand0,truck22,346.2684093900332,0
demand0,truck23,267.68266829616846,8
demand0,truck25,429.57517829430975,0
demand0,truck26,340.13452177604427,0
demand0,truck27,376.39983467277483,0
demand0,truck28,435.05841620417345,0
demand0,truck29,511.7259178233715,0
demand0,truck30,519.2489095551751,0
demand0,truck31,603.7250246701349,0
demand0,truck32,720.8049424116131,0
demand0,truck33,626.7910269481345,0
demand0,truck34,563.0068328866948,0
demand0,truck35,553.8284512969759,0
demand0,truck36,576.8418099894953,0
demand0,truck37,500.74446620775217,0
demand0,truck38,404.9389768751411,0
demand0,truck39,526.2813127598938,0
demand0,truck40,485.03197941375294,0
demand0,truck41,583.8268241365848,0
demand0,truck42,661.7069340263463,0
demand0,truck43,687.2948889068637,0
demand0,truck45,676.2982804710972,0
demand0,truck46,706.4882667222086,0
demand0,truck48,801.0069335818434,0
demand0,truck49,774.0001485123429,0
demand0,truck50,580.5165553080349,0
demand0,truck51,539.2184258105924,0
demand0,truck52,366.4744029347084,0
demand0,truck53,337.25591604200184,0
demand0,truck54,439.23259132803787,0
demand0,truck44,472.38760140714214,0
demand0,truck47,486.34837519672453,0
demand0,truck55,675.7706111597934,0
demand0,truck56,577.7253242469844,0
demand1,truck0,162.33915811811465,24
demand1,truck1,120.71009529146576,31
