demand_node_index,truck_node_index,distance,scaled_demand
demand2,truck0,270.4290166979076,0
demand2,truck6,201.15757059203833,0
demand2,truck12,74.73390674302166,70
demand2,truck14,186.66370020319573,0
demand2,truck15,190.35975427783865,0
demand2,truck16,270.43966913836493,0
demand2,truck19,392.9276149840903,0
demand2,truck20,414.8516356766123,0
demand2,truck23,247.09606148653955,0
demand2,truck26,319.54791496641536,0
demand2,truck28,414.47180939454455,0
demand2,truck29,417.79710871686734,0
demand2,truck33,532.8622178416304,0
demand2,truck34,469.07802378019073,0
demand2,truck36,482.9837096927662,0
demand2,truck37,480.15785939812326,0
demand2,truck43,593.4367886101345,0
demand2,truck45,582.369471364593,0
demand2,truck52,272.54559382820423,0
demand2,truck53,243.3271069354977,0
demand2,truck54,345.3037822215337,0
demand2,truck44,378.458792300638,0
demand2,truck55,581.8418020532891,0
demand9,truck0,564.66810856683,0
demand9,truck6,495.39666246096067,0
demand9,truck12,386.9532771386814,0
demand9,truck14,346.67332845530996,0
demand9,truck15,273.9875868802215,0
demand9,truck16,188.7986107679457,0
demand9,truck19,70.51638792743019,25
demand9,truck20,68.22694272294966,25
demand9,truck23,379.70734317991105,0
demand9,truck26,415.8232984324408,0
demand9,truck28,382.47776627548706,0
demand9,truck29,302.2334630493693,0
demand9,truck33,244.95712217848742,0
demand9,truck34,300.4574824447375,0
demand9,truck36,367.4200640252681,0
demand9,truck37,448.16381627906577,0
demand9,truck43,477.2714575063013,0
demand9,truck45,342.6083293212905,0
demand9,truck52,274.3421072135124,0
demand9,truck53,300.4409623858533,0
demand9,truck54,229.74013655403567,0
demand9,truck44,262.8951466331399,0
demand9,truck55,342.08066000998673,0
demand11,truck0,387.40019673666893,0
demand11,truck6,318.12875063079963,0
demand11,truck12,210.58899337302893,0
demand11,truck14,169.4054166251489,0
demand11,truck15,96.71967505006045,30
demand11,truck16,63.718556287182246,40
demand11,truck19,187.11013019741625,0
demand11,truck20,225.8413353346613,0
demand11,truck23,228.95340850177726,0
demand11,truck26,290.7432439516774,0
demand11,truck28,292.1926958546955,0
demand11,truck29,211.94839262857775,0
demand11,truck33,327.01350175334073,0
demand11,truck34,263.2293076919011,0
demand11,truck36,277.13499360447656,0
demand11,truck37,357.8787458582742,0
demand11,truck43,387.5880725218448,0
demand11,truck45,376.52075527630336,0
demand11,truck52,149.26205273274894,0
demand11,truck53,149.68702770771952,0
demand11,truck54,139.45506613324417,6
demand11,truck44,172.61007621234842,0
demand11,truck55,375.9930859649996,0
demand12,truck0,346.7009090858781,0
demand12,truck6,277.4294629800088,0
demand12,truck12,149.95678459615428,0
demand12,truck14,168.1753919920475,0
demand12,truck15,95.48965041695907,55
demand12,truck16,175.56956527748537,0
demand12,truck19,298.96113918771937,0
demand12,truck20,337.6923443249643,0
demand12,truck23,227.72338386867588,0
demand12,truck26,300.17523734855166,0
demand12,truck28,352.54960010179394,0
demand12,truck29,322.92700485598783,0
demand12,truck33,437.99211398075084,0
demand12,truck34,374.2079199193112,0
demand12,truck36,388.1136058318867,0
demand12,truck37,418.23565010537266,0
demand12,truck43,498.56668474925493,0
demand12,truck45,487.4993675037135,0
demand12,truck52,177.67548996732467,0
demand12,truck53,148.45700307461814,2
demand12,truck54,250.43367836065423,0
demand12,truck44,283.58868843975847,0
demand12,truck55,486.9716981924097,0
demand13,truck0,461.7683055719686,0
demand13,truck6,392.4968594660993,0
demand13,truck12,284.9571022083286,0
demand13,truck14,243.77352546044855,0
demand13,truck15,171.08778388536015,0
demand13,truck16,85.89880777308434,55
demand13,truck19,209.29038168331834,0
demand13,truck20,248.02158682056339,0
demand13,truck23,276.80754018504973,0
demand13,truck26,312.92349543757956,0
demand13,truck28,314.3729473405976,0
demand13,truck29,234.12864411447984,0
demand13,truck33,349.1937532392428,0
demand13,truck34,285.4095591778032,0
demand13,truck36,299.31524509037865,0
demand13,truck37,380.0589973441763,0
demand13,truck43,409.7683240077469,0
demand13,truck45,398.70100676220545,0
demand13,truck52,171.44230421865103,0
demand13,truck53,197.54115939099202,0
demand13,truck54,161.63531761914626,0
demand13,truck44,194.7903276982505,0
demand13,truck55,398.17333745090167,0
demand15,truck0,237.44222434708465,0
demand15,truck6,168.17077824121534,0
demand15,truck12,176.46145197441737,0
