index,x,y
truck0,72.06384284837324,57.75626043405676
truck6,56.22222222222222,129.48580968280467
truck12,224.57826887661142,93.7762938230384
truck14,150.65070595457337,222.64106844741238
truck15,210.60036832412524,207.11519198664442
truck16,298.50583179864947,205.56260434056762
truck19,431.1405770411296,207.11519198664442
truck20,469.9680785758134,206.80467445742906
truck23,128.59668508287294,263.9398998330551
truck26,121.14180478821363,337.2220367278798
truck28,224.88888888888889,335.97996661101837
truck29,296.0208717004297,350.8848080133556
truck33,393.24493554327813,377.2787979966611
truck34,337.9545733578883,395.28881469115197
truck36,303.16513198281154,414.85141903171956
truck37,209.35788827501537,398.3939899833055
truck43,290.42971147943524,506.7646076794658
truck45,395.4192756292204,495.27545909849755
truck52,241.9729895641498,281.94991652754595
truck53,209.35788827501537,280.0868113522538
truck54,320.5598526703499,273.5659432387312
truck44,315.5899324739104,295.92320534223705
truck55,387.0325352977287,454.5976627712855
