demand_node_index,truck_node_index,distance,scaled_demand
demand2,truck0,270.4290166979076,5
demand2,truck6,201.15757059203833,17
demand2,truck12,74.73390674302166,35
demand2,truck14,186.66370020319573,20
demand2,truck15,190.35975427783865,19
demand2,truck16,270.43966913836493,5
demand2,truck19,392.9276149840903,0
demand2,truck20,414.8516356766123,0
demand2,truck23,247.09606148653955,9
demand2,truck26,319.54791496641536,0
demand2,truck28,414.47180939454455,0
demand2,truck29,417.79710871686734,0
demand2,truck33,532.8622178416304,0
demand2,truck34,469.07802378019073,0
demand2,truck36,482.9837096927662,0
demand2,truck37,480.15785939812326,0
demand2,truck43,593.4367886101345,0
demand2,truck45,582.369471364593,0
demand2,truck52,272.54559382820423,5
demand2,truck53,243.3271069354977,10
demand2,truck54,345.3037822215337,0
demand2,truck44,378.458792300638,0
demand2,truck55,581.8418020532891,0
demand9,truck0,564.66810856683,0
demand9,truck6,495.39666246096067,0
demand9,truck12,386.9532771386814,0
demand9,truck14,346.67332845530996,0
demand9,truck15,273.9875868802215,7
demand9,truck16,188.7986107679457,31
demand9,truck19,70.51638792743019,55
demand9,truck20,68.22694272294966,55
demand9,truck23,379.70734317991105,0
demand9,truck26,415.8232984324408,0
demand9,truck28,382.47776627548706,0
demand9,truck29,302.2334630493693,0
demand9,truck33,244.95712217848742,15
demand9,truck34,300.4574824447375,0
demand9,truck36,367.4200640252681,0
demand9,truck37,448.16381627906577,0
demand9,truck43,477.2714575063013,0
demand9,truck45,342.6083293212905,0
demand9,truck52,274.3421072135124,7
demand9,truck53,300.4409623858533,0
demand9,truck54,229.74013655403567,19
demand9,truck44,262.8951466331399,10
demand9,truck55,342.08066000998673,0
demand11,truck0,387.40019673666893,0
demand11,truck6,318.12875063079963,0
demand11,truck12,210.58899337302893,20
demand11,truck14,169.4054166251489,29
demand11,truck15,96.71967505006045,45
demand11,truck16,63.718556287182246,45
demand11,truck19,187.11013019741625,25
demand11,truck20,225.8413353346613,17
demand11,truck23,228.95340850177726,16
demand11,truck26,290.7432439516774,2
demand11,truck28,292.1926958546955,2
demand11,truck29,211.94839262857775,20
