demand_node_index,truck_node_index,distance,scaled_demand
demand1,truck0,162.33915811811465,17
demand1,truck6,120.80084632552513,22
demand1,truck9,204.59707251109222,12
demand1,truck14,203.75655924937624,12
demand1,truck19,484.26630439165467,0
demand1,truck26,336.64077401259584,0
demand1,truck27,372.9060869093264,0
demand1,truck33,623.297279184686,0
demand1,truck35,550.3347035335274,0
demand1,truck36,573.3480622260469,0
demand1,truck42,658.2131862628978,0
demand1,truck43,683.8011411434152,0
demand1,truck48,797.513185818395,0
demand1,truck49,770.5064007488944,0
demand1,truck52,362.98065517125997,0
demand1,truck54,435.73884356458944,0
demand1,truck44,468.8938536436937,0
demand1,truck56,574.2315764835361,0
demand11,truck0,387.40019673666893,0
demand11,truck6,318.12875063079963,0
demand11,truck9,173.94659592403326,22
demand11,truck14,169.4054166251489,23
demand11,truck19,187.11013019741625,20
demand11,truck26,290.7432439516774,2
demand11,truck27,265.47758133581965,6
demand11,truck33,327.01350175334073,0
demand11,truck35,254.05092610218213,8
demand11,truck36,277.13499360447656,4
demand11,truck42,362.0001176413275,0
demand11,truck43,387.5880725218448,0
demand11,truck48,501.22940838704966,0
demand11,truck49,474.2226233175491,0
demand11,truck52,149.26205273274894,26
demand11,truck54,139.45506613324417,28
demand11,truck44,172.61007621234842,22
demand11,truck56,277.07540228929764,4
demand12,truck0,346.7009090858781,0
demand12,truck6,277.4294629800088,6
demand12,truck9,113.3143871471586,47
demand12,truck14,168.1753919920475,33
demand12,truck19,298.96113918771937,0
demand12,truck26,300.17523734855166,0
demand12,truck27,293.8910185703953,2
demand12,truck33,437.99211398075084,0
demand12,truck35,365.0295383295922,0
demand12,truck36,388.1136058318867,0
demand12,truck42,472.9787298687376,0
demand12,truck43,498.56668474925493,0
demand12,truck48,612.2080206144598,0
demand12,truck49,585.2012355449592,0
demand12,truck52,177.67548996732467,31
demand12,truck54,250.43367836065423,12
demand12,truck44,283.58868843975847,4
demand12,truck56,388.9264112796008,0
demand14,truck0,352.38373787860223,0
demand14,truck6,283.11229177273293,2
demand14,truck9,118.99721593988276,23
demand14,truck14,151.2862105072712,19
demand14,truck19,282.07195770294305,2
demand14,truck26,283.28605586377535,2
demand14,truck27,277.00183708561906,3
demand14,truck33,421.1029324959745,0
demand14,truck35,348.14035684481587,0
demand14,truck36,371.22442434711036,0
demand14,truck42,456.0895483839613,0
demand14,truck43,481.6775032644786,0
demand14,truck48,595.3188391296834,0
demand14,truck49,568.3120540601828,0
demand14,truck52,160.78630848254835,17
demand14,truck54,233.5444968758779,8
demand14,truck44,266.69950695498216,4
demand14,truck56,372.03722979482444,0
demand15,truck0,237.44222434708465,6
demand15,truck6,168.17077824121534,13
demand15,truck9,152.56666042267534,15
demand15,truck14,106.83487901464807,19
demand15,truck19,387.3446241569265,0
demand15,truck26,239.71909377786767,6
demand15,truck27,275.98440667459823,2
demand15,truck33,526.375598949958,0
demand15,truck35,453.4130232987993,0
demand15,truck36,476.4263819913187,0
demand15,truck42,561.2915060281696,0
demand15,truck43,586.879460908687,0
demand15,truck48,700.5915055836668,0
demand15,truck49,673.5847205141663,0
demand15,truck52,266.05897493653185,3
demand15,truck54,338.81716332986133,0
demand15,truck44,371.9721734089656,0
demand15,truck56,477.3098962488079,0
demand18,truck0,381.4984956412961,0
demand18,truck6,312.2270495354268,0
demand18,truck9,168.0448948286604,30
demand18,truck14,163.50371552977603,31
demand18,truck19,294.2894627254479,1
demand18,truck26,227.69924726303321,16
demand18,truck27,221.41502848487693,18
demand18,truck33,365.51612389523234,0
