index,name,x,y,demand
demand1,Traveling Salesperson Agency,126.11172498465316,89.42904841402338,25
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,35
demand12,KKT Air Conditioning,256.57213014119094,158.0534223706177,50
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,25
demand15,MILP Mart,176.7427869858809,186.93155258764608,20
demand18,Callback Cat Café,187.6144874155924,222.64106844741238,45
demand19,Toy Problems 'ᴙ' Us,152.2038060159607,245.30884808013357,15
demand20,Complex Complex,239.48802946593003,246.86143572621037,25
demand21,Gurobi Polytope,295.71025168815225,240.96160267111856,45
demand22,Vertex Tower,342.92449355432785,231.3355592654424,5
demand24,Presolve: Prenuptial Agreements,429.2768569674647,244.68781302170285,30
demand28,RINS Laundromat,169.90914671577656,306.17028380634395,50
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,20
demand44,Bias & Variance Courthouse,193.82688766114182,446.52420701168614,25
demand46,Lagrange Boulangerie,104.98956414978515,419.1986644407346,35
demand49,Big-M Market,241.9729895641498,421.68280467445743,5
demand51,Farkas' Lemma-nade,391.38121546961327,186,35
demand52,Cutting Stock Atelier,217.12338858195213,104.02337228714525,45
